Course Code,Course Title,Type of Textbook,ISBN,Title Linked to Library holdings,Author,Edition,Publisher
ACCT2062,Financial Accounting and Analysis,Highly recommended,9780730391906 9780730391920(e),"Accounting: Reporting, Analysis and Decision Making",Carlon,7th,John Wiley & Sons
ACCT2062,Financial Accounting and Analysis,Highly recommended,9780730313748 9780730344087(e),"Financial accounting : reporting, analysis and decision making",Carlon,5th,John Wiley & Sons
ACCT2062,Financial Accounting and Analysis,Highly recommended,9780730363279 9780730356158(e),"Financial accounting : reporting, analysis and decision making",Carlon,6th,John Wiley & Sons
ACCT2119,"Accounting, Behaviour and Organisations",Recommended,9780730369387 9780730369424(e),Management Accounting,Eldenburg Et al,4th,John Wiley & Sons
ACCT2211,Forensic Bus Investigation,Highly recommended,9781337619677 9781337670982(e),Fraud Examination,Albrecht,6th,Cengage Learning
ACCT2212,Forensic Bus Investigation,Highly recommended,9781337619677 9781337670982(e),Fraud Examination,Albrecht,6th,Cengage Learning
ACCT2213,Accounting in Organisations and Society,Recommended,9780730369325 9780730373629(e),Accounting : Business Reporting,Birt ET AL,7th,John Wiley & Sons
ACCT2213,Accounting in Organisations and Society,Recommended,9780730396475 9780730396482(e),Accounting : Business Reporting,Birt ET AL,8th,John Wiley & Sons
ACCT2213,Accounting in Organisations and Society,Recommended,9780170418737 9780170284592(e),An Introduction to Accounting: Accountability in Organisations and Society,Craig Deegan,1st,Cengage Learning
ACCT2228,Financial Accounting,Prescribed,9780730363279 9780730356158(e),"Financial Accounting: Reporting, Analysis And Decision Making",Carlon,6th,John Wiley & Sons
ACCT2279,Strategic Management Control Systems,Recommended,9781488612640 9781488612664(e),Horngren's Cost Accounting: A Managerial Emphasis,"Horngren, Datar, Rajan, Maguire, Tan",3rd,Pearson Education
ACCT2285,Wealth Creation and Estate Planning,Highly recommended,9780409354652 9780409354669(e),Financial Planning in Australia: Advice and Wealth Management,Taylor&Juchau,10th,LexisNexis Australia
ACCT2286,Superannuation and Retirement,Highly recommended,9781922847393,Australian Master Superannuation Guide 2023/2024,"James Leow and Shirley Murphy, CCH",27th,CCH
ACCT2287,"Risk, Insurance & Soc Security",Highly recommended,9780409345490,Australian Insurance law: a first reference,Greg Pynt,4th,LexisNexis Australia
ACCT2287,"Risk, Insurance & Soc Security",Recommended,9780646812816,Insurance and Risk Management,John Teale,4th,John Teale
ACCT2343,Accounting Data Analytics and Visualisation,Highly recommended,9780357631348 9780357631430(e),Data Analytics for Accounting,"Vernon Richardson, Katie Terrell, and Ryan Teeter",3rd ISE,McGraw-Hill Education
ACCT2343,Accounting Data Analytics and Visualisation,Recommended,9780357631348 9780357631430(e),Data Visualization : Exploring and Explaining with Data,"Camm, Jeffrey D.; Cochran, James J.; Fry, Michael J.",1st,Cengage Learning
ACCT2346,Acct Data Analytics and Visual,Highly recommended,9781265094454 9781265631529(e),Data Analytics for Accounting,"Vernon Richardson, Katie Terrell, and Ryan Teeter",3rd ISE,McGraw-Hill Education
ACCT2346,Acct Data Analytics and Visual,Recommended,9781265094454 9781265631529(e),Data Visualization : Exploring and Explaining with Data,"Camm, Jeffrey D.; Cochran, James J.; Fry, Michael J.",1st,Cengage Learning
AERO2357,Aerospace Finite Element Methods,Recommended,9780655700104,Heinemann Physics 12,"Nardelli, Daniell",5th,Pearson Education
AERO2359,Aerospace Structures,Highly recommended,9780128228685 9780323902113(e),Aircraft structures for engineering students,Megson,7th,Elsevier Australia
AERO2367,Incident & Accident Investigation,Highly recommended,9781892944177,Aircraft accident investigation Creator,Wood,2nd,Endeavor Books
AERO2367,Incident & Accident Investigation,Recommended,9781472458681,Investigating Human Error,Strauch,2nd,CRC Press
AERO2431,Aviation industry project,Highly recommended,9781292208787 9781292208794(e),"Research methods for business students,","Mark N. K. Saunders, Philip Lewis, Adrian Thornhill,",8th,Pearson Education
AERO2431,Aviation industry project,Prescribed,9781292339245 9781292339283(e),Practical research : planning and design,Leedy,12th,Pearson Education
AERO2454,Airport Design,Highly recommended,9781784418700 9781784418694(e),Airport design and operation,"Kazda A,. and Caves, R.E.",3rd,"Bingley, the UK"
AERO2457,Aircraft Maintenance Management,Highly recommended,9780071805025,Aviation Maintenance Management,"Kinnison, H.A. and Siddiqui, T",2nd,McGraw-Hill Education
AERO2460,Airport design and operations,Highly recommended,9781784418700 9781784418694(e),Airport design and operation,"Kazda A,. and Caves, R.E.",3rd,"Bingley, the UK"
AERO2488,Aviation industry project,Highly recommended,9781292339245 9781292339283(e),Practical research : planning and design,Leedy,12th,Pearson Education
AERO2488,Aviation industry project,Highly recommended,9781292208787,Research methods for business students,"Mark N. K. Saunders, Philip Lewis, Adrian Thornhill,",8th,Pearson Education
AERO2517,Advanced Aircraft Structural Analysis,Highly recommended,9780081009147 9780081009987(e),Aircraft structures for engineering students,T. H. G Megson (Thomas Henry Gordon),6th,Elsevier Australia
AERO2554,Aviation industry project,Prescribed,9781292339245 9781292339283(e),Practical research : planning and design,Leedy,12th,Pearson Education
AERO2554,Aviation industry project,Prescribed,9781292208787 9781292208794(e),Research methods for business students,"Mark N. K. Saunders, Philip Lewis, Adrian Thornhill,",8th,Pearson Education
AERO2570,Accident Investigation,Highly recommended,9781892944177,Aircraft accident investigation Creator,Wood,2nd,Endeavor Books
AERO2570,Accident Investigation,Recommended,9781472458681,Investigating Human Error,Strauch,2nd,CRC Press
AERO2579,Principles of Aerodynamics,Highly recommended,9781266076442 9781266486685(e),Fundamentals of Aerodynamics,J. D. Anderson,7th ISE,McGraw-Hill Education
AERO2579,Principles of Aerodynamics,Highly recommended,9781260597998 9781264363407(e),Introduction to Flight,"Anderson, Bowden",9th ISE,McGraw-Hill Education
AERO5820C,MEA342A Basic Power plant desi,Prescribed,9781619546271,Aircraft Systems for Pilots,DeRemer,4th,ASA
ARCH1276,Professional Practice and Ethics in Planning,Recommended,9781137276995 9781137277015(e),Management Skills for Effective Planners A Practical Guide,Reeves,2015,Macmillan Education
BAFI1005,Fin Markets and Institutions,Recommended,9781760422943 9781760422974(e),"Financial Institutions, Instruments and Markets",Viney & Phillips,9th,McGraw-Hill Education
BAFI1008,Corporate Finance,Highly recommended,9781488611001 9781488612053(e),Fundamentals of Corporate Finance,"Berk, Peter DeMarzo, Jarrad Harford, Guy Ford, Vito Mollica",3rd AUS,Pearson Education
BAFI1012,Corporate Finance,Highly recommended,9781488611001 9781488612053(e),Fundamentals of Corporate Finance,"Berk, Peter DeMarzo, Jarrad Harford, Guy Ford, Vito Mollica",3rd AUS,Pearson Education
BAFI1014,Personal Wealth Management,Recommended,9780730343554(e),Financial Planning,Warren McKeown et al.,2nd Updated,John Wiley & Sons
BAFI1018,International Finance,Highly recommended,9781260575316 9781260590708(e),International Financial Management,"Cheol S. Eun, Bruce G. Resnick, Tuugi Chuluun",9th,McGraw-Hill Education
BAFI1019,International Finance,Highly recommended,9781260575316 9781260590708(e),International Financial Management,"Cheol S. Eun, Bruce G. Resnick, Tuugi Chuluun",9th,McGraw-Hill Education
BAFI1029,Derivatives and Risk Management,Highly recommended,9781292155036 9781292155043(e),Fundamentals of Futures and Options Markets,Hull,8th,Pearson Education
BAFI1042,Equity Invest & Portfolio Mgmt,Highly recommended,9781305262997,Investment Analysis and Portfolio Management,"Frank K. Reilly, Keith C. Brown and Sanford Leeds",11th,Cengage Learning
BAFI1045,Equity Invest & Portfolio Mgmt,Highly recommended,9781305262997,Investment Analysis and Portfolio Management,"Frank K. Reilly, Keith C. Brown and Sanford Leeds",11th,Cengage Learning
BAFI1065,Fixed Income Securities and Credit Analysis,Highly recommended,9780262046275 9780262367424(e),"Bond Markets, Analysis, and Strategies","Fabozzi, Frank, J., Fabozzi, Francesco, A.",10th,MIT Press
BAFI1070,Financial statement analysis,Highly recommended,9781260247848 9781264097005(e),Financial Reporting and Analysis,Revsine,8th,McGraw-Hill Education
BAFI1100,Financial Decision Making,Highly recommended,9781292304151,Corporate Finance,"Berk, Peter DeMarzo, Jarrad Harford, Guy Ford, Vito Mollica",5th Global,Pearson Education
BAFI2081,"Options, Futures and Risk Management",Highly recommended,9781305104976 9781305688087(e),An Introduction to Derivatives and Risk Management,Don M. Chance and Robert Brooks.,10th,Cengage Learning
BAFI2081,"Options, Futures and Risk Management",Recommended,9781292410654 9781292410623(e),"Options, Futures, and Other Derivatives",John C. Hull.,11th Global,Pearson Education
BAFI3178,Portfolio Management,Highly recommended,9780170416030 9780170287616(e),Investment Analysis & Portfolio Management,Reilly/Brown/Leeds,11th Asia/Pacific edition,Cengage Learning
BAFI3180,Alternative Securities,Highly recommended,9780471980209,Handbook of Alternative Assets,Mark Anson,2nd,John Wiley & Sons
BAFI3225,Financial Statement Analysis,Highly recommended,9781119628057 9781119628149(e),International Financial Statement Analysis,Thomas R. Robinson,4th,John Wiley & Sons
BAFI3257,Corporate Financial Management,Highly recommended,9781292304151,Corporate Finance,Ber/DeMarzo,5th Global,Pearson Education
BAFI3258,Managerial Finance,Highly recommended,9781786343253 9781786343284(e),Stock Markets and Corporate Finance,Michael Dempsey,1st,World Scientific
BAFI3259,Behavioural Finance,Highly recommended,"9781259277207, 9781259358425(e)",Behavioral Corporate Finance,Hersh Shefrin,2nd,McGraw-Hill Education
BAFI3261,Global Financial Markets and Institutions,Highly recommended,9781133947837 9781285969763(e),International Financial Management,"Madura, Hoque, and Krishnamurti",12th Asia-Pacific,Cengage Learning
BAFI3261,Global Financial Markets and Institutions,Highly recommended,9780273718130 9780273776567(e),Introduction to Banking,"Casu, Girardone, and Molyneux",2nd,Pearson Education
BAFI3267,Advanced Corporate Finance,Highly recommended,9781265074159 9781265652463(e),Principles of Corporate Finance,"Brealey, Myers and Allen",14th ISE,McGraw-Hill Education
BAFI3271,Money and Debt Markets,Highly recommended,9781119850540 9781119850557(e),Fixed income analysis,"Petitt, B. S.",5th,CFA Institute
BAFI3271,Money and Debt Markets,Highly recommended,9781760422943 9781760422974(e),"Financial Institutions, Instruments and Markets",Viney & Phillips,9th,McGraw-Hill Education
BAFI3271,Money and Debt Markets,Recommended,9780730363521 9780730357537(e),"Financial markets, institutions and money","Kidwell, D. S.",4th,John Wiley & Sons
BAFI3272,Money and Debt Markets,Highly recommended,9781119850540 9781119850557(e),Fixed income analysis,"Petitt, B. S.",5th,CFA Institute
BAFI3272,Money and Debt Markets,Highly recommended,9781760422943 9781760422974(e),"Financial Institutions, Instruments and Markets",Viney & Phillips,9th,McGraw-Hill Education
BAFI3272,Money and Debt Markets,Recommended,9780730363521 9780730357537(e),"Financial markets, institutions and money","Kidwell, D. S.",4th,John Wiley & Sons
BAFI3276,Applied Fin-A Case Study App,Highly recommended,9781260083262 9781260546781(e),Case Studies in Finance,"Robert F. Bruner, Kenneth Eades, Michael Schill",8th ISE,McGraw-Hill Education
BAFI3278,Applied Fin-A Case Study App,Highly recommended,9781260083262 9781260546781(e),Case Studies in Finance,"Robert F. Bruner, Kenneth Eades, Michael Schill",8th ISE,McGraw-Hill Education
BAFI3288,Quantitative Financial Method & Modelling,Recommended,9781119743675 9781119743668(e),"Quantitative Investment Analysis, Workbook",CFA Institute,4th,John Wiley & Sons
BESC1126,Foundations of Psychology,Prescribed,9781488615740,Psychology: From Inquiry to Understanding,Scott O. Lilienfeld,3rd,Pearson Education AU
BESC1126,Foundations of Psychology,Recommended,9780655702931,How to Write Psychology Research Reports and Essays,Findlay,9th,Pearson Education AU
BESC1126,Foundations of Psychology,Recommended,9781433832161,Publication Manual of the American Psychological Association,American Psychological Association,2020 7th,American Psychological Association
BESC1190,Biological Psychology,Prescribed,9781292351933,Biopsychology,"""John P J Pinel Steven Barnes""",11th Global,Pearson Education AU
BESC1437,Philosophy and Methodology of Psychology,Recommended,9781337564151 9781337678988(e),Hergenhahn's An Introduction to the History of Psychology,Tracey Henley,8th,Cengage Learning
BIOL1177,Biochemistry & Molecular Biology 1,Prescribed,9781319381493 9781319322397(e),"Lehninger, Principles of Biochemistry",Nelson & Cox,8th,Macmillan Education
BIOL2043,Human Physiology 1 - Body Syst,Prescribed,9781292259543 9781292259628(e),Human Physiology: An Integrated Approach,Dee Unglaub Silverthorn,8th Global,Pearson Education
BIOL2144,Cellular Communication,Prescribed,9781118873656 9781118873373(e),"Culture of animal cells: a manual of basic technique and specialized applications,","Freshney, R. Ian",7th,John Wiley & Sons
BIOL2144,Cellular Communication,Prescribed,9780393884821 9780393427080(e),Molecular Biology of The Cell,"Bruce Alberts, Alexander Johnson, Julian Lewis, David Morgan, Martin Raff, Keith Roberts & Peter Walter",7th,John Wiley & Sons
BIOL2144,Cellular Communication,Prescribed,9780815344643 9781315735368(e),Molecular Biology of The Cell,"Bruce Alberts, Alexander Johnson, Julian Lewis, David Morgan, Martin Raff, Keith Roberts & Peter Walter",6th,John Wiley & Sons
BIOL2151,Animal Diversity,Prescribed,9781260575859 9781260579369(e),Animal Diversity,"Cleveland Hickman, Jr. and Larry Roberts and Susan Keen and Allan Larson & David Eisenhour",9th,McGraw-Hill Education
BIOL2255,Marine Biology,Prescribed,9780198717850 9780192522856(e),"Marine Ecology: Processes, Systems, and Impacts","Michel J Kaiser, Martin J Attrill, Simon Jennings, David N Thomas, David K. A. Barnes, Andrew S. Brierley, Jan G. Hiddink, Hermanni Kaartokallio, Nicholas V. C. Polunin, and David G. Raffaelli",3rd,Oxford University Press
BIOL2262,Genetics and molecular biology,Prescribed,9781266246678 9781266379956(e),Genetics: From Genes To Genomes ISE,"Michael L. Goldberg, Janice Fischer, Leroy Hood, Leland Hartwell",8th ISE,McGraw-Hill Education
BIOL2262,Genetics and molecular biology,Prescribed,9781284173130 9781284173147(e),Lewin's Essential GENES,"Jocelyn E. Krebs, Elliott S. Goldstein, and Stephen T. Kilpatrick",4th,Jones & Bartlett Learning
BIOL2264,Cell & Tissue Culture,Highly recommended,9781118873656 9781118873373(e),"Culture of animal cells: a manual of basic technique and specialized applications,","Freshney, R. Ian",7th,John Wiley & Sons
BIOL2275,Head and Visceral Anatomy,Highly recommended,9780323934237,Gray's anatomy for students,Drake,5th,Elsevier Australia
BIOL2301,Applied Biochemical Methods,Highly recommended,9781316614761 9781316677056(e),Wilson and Walkers Principles and Techniques of Biochemistry and Molecular Biology,Editors: Andreas Hofmann and Samuel Clokie,8th,Cambridge University Press
BIOL2322,Applied Biochemical Methods,Highly recommended,9781316614761 9781316677056(e),Wilson and Walkers Principles and Techniques of Biochemistry and Molecular Biology,Editors: Andreas Hofmann and Samuel Clokie,8th,Cambridge University Press
BIOL2402,Viruses and Infections,Recommended,9781555819514,Principles of Virology,"Flint J, Rall G, Racaniello V, Skalka A and Enquist L",4th,ASM Books
BIOL2525,Foundations of Digital Health,Highly recommended,9780729544795,Digital Health: A transformative approach,"Helen Almond, Carey Mather",1st,Elsevier Australia
BIOL2528,Biology and Chemistry for Human Biosciences,Recommended,9781292177694 9781292177779(e),Becker's World of the Cell,"Hardin J, Bertoni, G",9th Global,Pearson Education
BIOL2528,Biology and Chemistry for Human Bioscience,Recommended,9781292123462 9781292123486(e),"Fundamentals of General, Organic, and Biological Chemistry","McMurry, John",8th,Pearson Education
BIOL2529,Human Anatomy & Physiology 1,Highly recommended,"""9781119329398 9781119336563(e)""",Principles of Anatomy & Physiology,Tortora & Derrickson,15th,"Hoboken, NJ : Wiley"
BIOL2530,Human Anatomy & Physiology 1,Highly recommended,"""9781119329398 9781119336563(e)""",Principles of Anatomy & Physiology,Tortora & Derrickson,15th,"Hoboken, NJ : Wiley"
BIOL2565,Cellular Pathways,Prescribed,9781319381493 9781319322397(e),Lehninger Principles of Biochemistry,Nelson & Cox,8th,Macmillan Education
BIOL2583,Human Pathophysiology 1,Prescribed,9780729544634,Understanding Pathophysiology,Craft/Gordon/Huether/McCance/Brashers/List,4th ANZ,Elsevier Australia
BUIL1226,Introduction to Buildings,Prescribed,9781119583080,Building construction illustrated,Ching,6th,John Wiley & Sons
BUIL1226,Introduction to Buildings,Prescribed,9781119622475,Building construction illustrated,Francis D.K. Ching,5th,John Wiley & Sons
BUIL1226,Introduction to Buildings,Recommended,9780273738046,Mitchell's Introduction to Building,Roger Greeno and Derek Osbourn,5th,Routledge
BUIL1230,Communications for Built Environment Professionals,Recommended,9781352010336,Academic Culture: A student's guide to studying at University,"Jean Brick, Maria Herke, Deanna Wong",4th,Macmillan Education
BUIL1239,Building Science,Highly recommended,9780415824989 9781317918592(e),Introduction to Architectural Science : The Basis of Sustainable Design,Steven V. Szokolay,3rd,Taylor and Francis
BUIL1247,Introduction to Built Environment Law,Prescribed,9780455247076 9780455247083(e),Concise Australian Commercial Law,"Clive Turner, Roger Gamble, John Trone",7th,Thomson Reuters
BUIL1276,Building Science,Highly recommended,9780415824989 9781317918592(e),Introduction to Architectural Science : The Basis of Sustainable Design,Steven V. Szokolay,3rd,Taylor and Francis
BUSM1202,Managing Change,Highly recommended,9781506357997,Organization change : theory & practice,Burke,5th,Sage Publications
BUSM1202,Managing Change,Highly recommended,9781352012538 9781350933378(e),The Theory and Practice of Change Management,Hayes,6th,Bloomsbury Publishing
BUSM1208,Managing Change,Recommended,9781506357997,Organization change : theory & practice,Burke,5th,Sage Publications
BUSM1208,Managing Change,Recommended,9781352012538 9781350933378(e),The Theory and Practice of Change Management,Hayes,6th,Bloomsbury Publishing
BUSM1311,The Foundations of Entrepreneurship,Recommended,9781789908039 9781789908046(e),Entrepreneurship in Theory and Practice: Paradoxes in Play,"Nielsen, S. L., Klyver, K., Evald, M. R. & Bager, T.",3rd,Edward Elgar
BUSM1311,The Foundations of Entrepreneurship,Recommended,9780170411752 9780170286145(e),Entrepreneurship Theory Process Practice,"Frederick, H. H., A. O’Connor, and D. F. Kuratko",5th Asia-Pacific,Cengage Learning
BUSM1534,Marketing for Managers,Recommended,9781292404813 9781292405100(e),Marketing Management,"Kotler, P & Keller, KL",16th Global,Pearson Education
BUSM2449,Internationa Human Resources Management,Highly recommended,9781473773790 9781473773813(e),International Human Resource Management,Dowling ET AL,8th,Cengage Learning
BUSM2562,Understanding the Business Environment,Highly recommended,9780393872279 9780393871722(e),Principles of Economics (COVID-19 Update),Mateer/Coppock,3rd ANZ adaptation,John Wiley & Sons
BUSM2563,Understanding the Business Environment,Highly recommended,9780393872279 9780393871722(e),Principles of Economics (COVID-19 Update),"Dirk Mateer, Lee Coppock",3rd,John Wiley & Sons
BUSM2646,Understanding the Business Environment,Highly recommended,9781324033851 9781324033950(e),Principles of Economics,Dirk Mateer; Lee Coppock,4th,John Wiley & Sons
BUSM2646,Understanding the Business Environment,Highly recommended,9780393872279 9780393871722(e),Principles of Economics (COVID-19 Update),"Dirk Mateer, Lee Coppock",3rd,John Wiley & Sons
BUSM2647,Understanding the Business Environment,Highly recommended,9781324033851 9781324033905(e),Principles of Economics,Dirk Mateer; Lee Coppock,4th,John Wiley & Sons
BUSM2648,Leadership in Associate Degree in Business/Diploma of Commerce,Highly recommended,9780170417198 9780170282277(e),CP1147 - Leading for Change,Dubrin,2nd,Cengage Learning
BUSM2648,Leadership in Associate Degree in Business/Diploma of Commerce,Highly recommended,9781108459297,Leadership : regional and global perspectives,Muenjohn,2018,Cambridge University Press
BUSM2648,Leadership in Associate Degree in Business/Diploma of Commerce,Highly recommended,9781292314402 9781292314426(e),Leadership in Organizations,Yuki,9th global,Pearson Education
BUSM2665,Global business environment,Recommended,9780198804291,The International Business Environment,Hamilton/Webster,4th,Oxford University Press
BUSM3119,Human Resource Management,Recommended,9780170425162 9780170285544(e),Human Resource Management,Nankervis Et al,2018,Cengage Learning
BUSM3125,Strategy,Prescribed,9781292282459 9781292282503(e),Exploring Strategy,"Whittington, Richard ; Regnér, Patrick ; Angwin, Duncan ; Johnson, Gerry ; Scholes, Kevan",12th,Pearson Education
BUSM3200,Strategy,Prescribed,9781292282459 9781292282503(e),Exploring Strategy,"Whittington, Richard ; Regnér, Patrick ; Angwin, Duncan ; Johnson, Gerry ; Scholes, Kevan",12th,Pearson Education
BUSM3201,Human Resource Management,Recommended,9780170425162 9780170285544(e),Human Resource Management,Nankervis Et al,2018,Cengage Learning
BUSM3249,People and Organisations,Highly recommended,9781488620683 9781488620706(e),Organisational Behaviour,Robbins et al,9th,Pearson Education
BUSM3310,Human Resource Management,Recommended,9780170425162 9780170285544(e),Human Resource Management,Nankervis Et al,2018,Cengage Learning
BUSM4125,Internationa Human Resources Management,Highly recommended,9781473773790 9781473773813(e),International Human Resource Management,Dowling ET AL,8th,Cengage Learning
BUSM4154,Fin Analytics Managerial Dec,Highly recommended,9780730369325 9780730373629(e),Accounting: business reporting for decision making,"Birt, Jacqueline; Chalmers, Keryn; Maloney, Suzanne; Brooks, Albie; Oliver, Judy; Bond, David",7th,John Wiley & Sons
BUSM4154,Fin Analytics Managerial Dec,Highly recommended,9781760423605 9781760423612(e),Essentials of Corporate Finance,"Ross, S., Trayler, R., Koh, C., Hambusch, G., Westerfield, R., and Jordan, B",5th,McGraw-Hill Education
BUSM4169,Management Fundamentals,Prescribed,9780730369318 9780730369257(e),Management,"Shermerhorn, John",7th Asia Pacific,John Wiley & Sons
BUSM4169,Management Fundamentals,Prescribed,9781488620683 9781488620713(e),Organisational Behaviour,"Robbins, Stephen",9th,Pearson Education
BUSM4177,Leadership and Decision Making,Recommended,9780170417198 9780170282277(e),CP1147 - Leading for Change,Dubrin,2nd,Cengage Learning
BUSM4177,Leadership and Decision Making,Recommended,9781108459297,Leadership : regional and global perspectives,Muenjohn,2018,Cambridge University Press
BUSM4177,Leadership and Decision Making,Recommended,9781292314402 9781292314426(e),Leadership in Organizations,Yuki,9th global,Pearson Education
BUSM4194,Leadership and Decision Making,Recommended,9780170417198 9780170282277(e),CP1147 - Leading for Change,Dubrin,2nd,Cengage Learning
BUSM4194,Leadership and Decision Making,Recommended,9781108459297,Leadership : regional and global perspectives,Muenjohn,2018,Cambridge University Press
BUSM4194,Leadership and Decision Making,Recommended,9781292314402 9781292314426(e),Leadership in Organizations,Yuki,9th global,Pearson Education
BUSM4385,International Business,Recommended,9780357716403 9780357716496(e),Global Business,Peng,5th,Cengage Learning
BUSM4448,Business Research Design,Highly recommended,9781352011814,Business Research : A Practical Guide for Undergraduate and Postgraduate Students,Jill Collis and Roger Hussey,5th,Macmillan Education
BUSM4449,Business Research Design,Highly recommended,9781352011814,Business Research : A Practical Guide for Undergraduate and Postgraduate Students,Jill Collis and Roger Hussey,5th,Macmillan Education
BUSM4450,Business Research Design,Highly recommended,9781352011814,Business Research : A Practical Guide for Undergraduate and Postgraduate Students,Jill Collis and Roger Hussey,5th,Macmillan Education
BUSM4495,Contemporary Issues in Strategic Human Resource Management,Highly recommended,9781398606630 9781398606647(e),Armstrong's Handbook of Human Resource Management Practice,"Armstrong, M., Taylor, S. (2020)",16th,Kogan Page
BUSM4495,Contemporary Issues in Strategic Human Resource Management,Highly recommended,9781032161471 9781000902488(e),Managing a Global Workforce,"Vance,Paik, Froese,Andersen,Torben",4th,Taylor and Francis
BUSM4590,People and Organisations,Highly recommended,9781488620683 9781488620706(e),Organisational Behaviour,Robbins et al,9th,Pearson Education
BUSM4594,Contemporary Issues in Strategic Human Resource Management,Highly recommended,9781398606630 9781398606647(e),Armstrong's Handbook of Human Resource Management Practice (15th edition),"Armstrong, M., Taylor, S. (2020)",16th,Kogan Page
C3407,Certificate III in Dental Assisting,Prescribed,9781444335323 9781118713587(e),Basic guide to dental instruments,"Scheller-Sheridan, Carmen",2nd,John Wiley & Sons
C3407,Certificate III in Dental Assisting,Prescribed,9780323695503 9780323695510(e),Dental radiography : principles and techniques,Iannucci at al,6th,Elsevier Australia
C3407,Certificate III in Dental Assisting,Prescribed,9780323824408 9780323882439(e),Modern dental assisting,Bird,14th,Elsevier Australia
C4415,Certificate IV Photography & Digital Imaging,Recommended,9781597113397,Cape Light,"Joel Meyerowitz, Bruce K. MacDonald",2015,Aperture
